gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,56,1,1,19-Jan-2014 21:20:18,0
2,61,1,2,19-Jan-2014 21:21:47,0.00103009259259259
3,58,2,1,19-Oct-2014 18:37:07,272.886678240741
4,64,2,2,19-Oct-2014 18:38:20,272.887523148148
5,67,2,3,19-Oct-2014 18:40:37,272.889108796296
6,67,2,4,19-Oct-2014 18:42:56,272.890717592593
7,67,2,5,19-Oct-2014 18:44:20,272.891689814815
8,67,2,6,19-Oct-2014 18:47:50,272.89412037037
9,66,2,7,19-Oct-2014 18:49:22,272.895185185185
10,66,2,8,19-Oct-2014 18:50:32,272.89599537037
11,65,2,9,19-Oct-2014 18:52:01,272.897025462963
12,65,2,10,19-Oct-2014 18:53:07,272.897789351852
13,62,3,1,25-Oct-2014 21:15:01,278.996331018519
14,64,4,1,26-Oct-2014 10:05:36,279.531458333333
15,64,4,2,26-Oct-2014 10:07:38,279.53287037037
16,63,5,1,01-Nov-2014 22:42:24,286.057013888889
17,66,5,2,01-Nov-2014 22:44:08,286.058217592593
18,67,5,3,01-Nov-2014 22:45:22,286.059074074074
19,66,5,4,01-Nov-2014 22:47:59,286.060891203704
20,65,5,5,01-Nov-2014 22:49:46,286.06212962963
21,63,6,1,09-Nov-2014 22:33:21,294.050729166667
22,70,7,1,10-Nov-2014 20:21:22,294.959074074074
23,70,7,2,10-Nov-2014 20:22:28,294.959837962963
24,68,7,3,10-Nov-2014 20:24:16,294.961087962963
25,72,7,4,10-Nov-2014 20:25:36,294.962013888889
26,63,8,1,03-Feb-2016 21:28:42,745.005833333333
27,66,8,2,03-Feb-2016 21:30:55,745.007372685185
28,67,8,3,03-Feb-2016 21:32:08,745.008217592593
29,66,8,4,03-Feb-2016 21:33:42,745.009305555556
30,66,8,5,03-Feb-2016 21:35:33,745.010590277778
31,68,8,6,03-Feb-2016 21:37:47,745.012141203704
32,70,8,7,03-Feb-2016 21:39:05,745.013043981482
33,67,9,1,05-Feb-2016 10:43:16,746.557615740741
34,67,9,2,05-Feb-2016 10:44:30,746.558472222222
35,63,10,1,23-Feb-2016 22:39:48,765.055208333333
