gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,70,1,1,30-Jul-2013 19:02:49,0
2,75,1,2,30-Jul-2013 19:03:59,0.000810185185185185
3,69,2,1,22-Feb-2014 18:00:23,206.956643518519
4,76,2,2,22-Feb-2014 18:01:29,206.957407407407
5,74,2,3,22-Feb-2014 18:02:35,206.958171296296
6,74,3,1,27-Mar-2014 19:06:11,240.002337962963
7,70,4,1,11-Aug-2014 14:39:19,376.817013888889
8,71,4,2,11-Aug-2014 14:40:24,376.817766203704
9,74,4,3,11-Aug-2014 14:41:32,376.818553240741
10,69,5,1,20-Jul-2015 16:07:39,719.878356481481
11,68,5,2,20-Jul-2015 16:08:49,719.879166666667
12,68,5,3,20-Jul-2015 16:09:56,719.87994212963
13,69,5,4,20-Jul-2015 16:11:02,719.880706018518
14,68,5,5,20-Jul-2015 16:12:06,719.881446759259
15,69,5,6,20-Jul-2015 16:13:12,719.882210648148
16,63,6,1,21-Jul-2015 15:40:26,720.859456018518
17,63,6,2,21-Jul-2015 15:41:34,720.860243055555
18,67,6,3,21-Jul-2015 15:42:48,720.861099537037
19,66,6,4,21-Jul-2015 15:43:59,720.861921296296
20,68,6,5,21-Jul-2015 15:45:05,720.862685185185
21,70,7,1,18-Jun-2016 10:37:11,1053.64886574074
22,71,7,2,18-Jun-2016 10:38:20,1053.64966435185
23,72,7,3,18-Jun-2016 10:39:51,1053.65071759259
24,69,7,4,18-Jun-2016 10:51:39,1053.65891203704
25,73,8,1,19-Jun-2016 11:10:24,1054.67193287037
26,75,8,2,19-Jun-2016 11:11:30,1054.67269675926
27,74,8,3,19-Jun-2016 11:12:47,1054.67358796296
28,73,8,4,19-Jun-2016 11:13:54,1054.67436342593
29,75,8,5,19-Jun-2016 11:15:13,1054.67527777778
30,74,8,6,19-Jun-2016 11:16:21,1054.67606481481
31,75,8,7,19-Jun-2016 11:17:46,1054.67704861111
32,73,9,1,19-Jun-2016 14:11:48,1054.79790509259
33,76,9,2,19-Jun-2016 14:12:55,1054.79868055556
34,75,10,1,20-Jun-2016 13:48:13,1055.78152777778
35,71,10,2,20-Jun-2016 13:50:07,1055.78284722222
36,75,10,3,20-Jun-2016 13:54:01,1055.78555555556
37,74,10,4,20-Jun-2016 13:56:49,1055.7875
38,77,11,1,20-Jun-2016 15:27:27,1055.85043981481
39,77,11,2,20-Jun-2016 15:28:32,1055.85119212963
40,79,11,3,20-Jun-2016 15:29:44,1055.85202546296
41,NaN,11,4,20-Jun-2016 15:30:54,1055.85283564815
42,76,11,5,20-Jun-2016 15:32:19,1055.85381944444
43,76,11,6,20-Jun-2016 15:33:30,1055.8546412037
44,75,12,1,30-Jun-2016 13:02:21,1065.74967592593
45,77,12,2,30-Jun-2016 13:03:25,1065.75041666667
46,78,12,3,30-Jun-2016 13:04:32,1065.75119212963
47,80,12,4,30-Jun-2016 13:05:38,1065.75195601852
48,81,12,5,30-Jun-2016 13:06:39,1065.75266203704
49,82,12,6,30-Jun-2016 13:07:47,1065.75344907407
50,81,12,7,30-Jun-2016 13:08:49,1065.75416666667
51,80,12,8,30-Jun-2016 13:09:51,1065.75488425926
52,72,13,1,01-Jul-2016 02:06:32,1066.29424768519
53,77,14,1,04-Jul-2016 09:53:35,1069.61858796296
54,77,14,2,04-Jul-2016 09:54:43,1069.619375
55,78,14,3,04-Jul-2016 09:55:47,1069.62011574074
56,77,14,4,04-Jul-2016 09:56:52,1069.62086805556
57,80,14,5,04-Jul-2016 09:57:55,1069.62159722222
58,65,15,1,11-Jul-2016 16:10:38,1076.88042824074
59,71,15,2,11-Jul-2016 16:11:43,1076.88118055556
60,77,15,3,11-Jul-2016 16:12:45,1076.88189814815
61,77,15,4,11-Jul-2016 16:13:47,1076.88261574074
62,78,15,5,11-Jul-2016 16:15:05,1076.88351851852
63,79,15,6,11-Jul-2016 16:16:44,1076.88466435185
