gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,49,1,1,28-Aug-2015 22:15:42,0
2,52,1,2,28-Aug-2015 22:16:52,0.000810185185185185
3,54,1,3,28-Aug-2015 22:17:59,0.00158564814814815
4,50,2,1,04-Sep-2015 12:10:36,6.57979166666667
5,52,2,2,04-Sep-2015 12:11:39,6.58052083333333
6,52,2,3,04-Sep-2015 12:12:51,6.58135416666667
7,53,2,4,04-Sep-2015 12:13:57,6.58211805555556
8,54,2,5,04-Sep-2015 12:15:00,6.58284722222222
9,53,2,6,04-Sep-2015 12:16:02,6.58356481481482
10,52,2,7,04-Sep-2015 12:17:06,6.58430555555556
11,52,2,8,04-Sep-2015 12:18:19,6.58515046296296
12,52,2,9,04-Sep-2015 12:19:22,6.58587962962963
13,54,2,10,04-Sep-2015 12:20:44,6.58682870370371
14,53,2,11,04-Sep-2015 12:21:49,6.58758101851852
15,54,2,12,04-Sep-2015 12:22:55,6.58834490740741
16,57,2,13,04-Sep-2015 12:23:59,6.58908564814815
17,57,3,1,09-Sep-2015 15:35:25,11.722025462963
18,58,3,2,09-Sep-2015 15:36:29,11.7227662037037
19,59,4,1,13-Sep-2015 12:50:00,15.6071527777778
20,59,4,2,13-Sep-2015 12:51:06,15.6079166666667
21,60,4,3,13-Sep-2015 12:52:10,15.6086574074074
22,62,4,4,13-Sep-2015 12:53:16,15.6094212962963
23,62,4,5,13-Sep-2015 12:54:22,15.6101851851852
24,59,5,1,14-Sep-2015 12:07:37,16.5777199074074
25,59,5,2,14-Sep-2015 12:08:59,16.5786689814815
26,59,5,3,14-Sep-2015 12:10:04,16.5794212962963
