gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,32,1,1,22-Aug-2014 22:06:40,0
2,38,2,1,01-Sep-2014 19:41:07,9.89892361111111
3,41,3,1,09-Sep-2014 09:35:42,17.4784953703704
4,43,4,1,08-Oct-2014 20:41:50,46.941087962963
5,50,4,2,08-Oct-2014 20:43:00,46.9418981481482
6,52,4,3,08-Oct-2014 20:44:17,46.9427893518519
7,54,4,4,08-Oct-2014 20:45:25,46.9435763888889
8,44,5,1,17-Nov-2014 06:55:02,86.3669212962963
9,49,5,2,17-Nov-2014 06:56:15,86.3677662037037
10,38,6,1,05-Nov-2015 09:33:44,439.47712962963
11,53,6,2,05-Nov-2015 09:34:50,439.477893518519
12,55,6,3,05-Nov-2015 09:36:01,439.478715277778
13,47,7,1,09-Feb-2016 09:22:16,535.469166666667
14,54,7,2,09-Feb-2016 09:23:22,535.469930555556
15,56,7,3,09-Feb-2016 09:24:34,535.470763888889
16,56,7,4,09-Feb-2016 09:25:40,535.471527777778
17,42,8,1,05-Jul-2016 17:16:05,682.798206018519
18,53,8,2,05-Jul-2016 17:17:15,682.799016203704
19,50,8,3,05-Jul-2016 17:18:24,682.799814814815
20,53,8,4,05-Jul-2016 17:19:33,682.800613425926
21,55,8,5,05-Jul-2016 17:20:40,682.801388888889
22,49,9,1,13-Jan-2017 09:52:19,874.490034722222
23,55,9,2,13-Jan-2017 09:53:31,874.490868055556
24,55,9,3,13-Jan-2017 09:54:40,874.491666666667
25,55,9,4,13-Jan-2017 09:55:47,874.49244212963
26,56,9,5,13-Jan-2017 09:56:55,874.493229166667
27,56,9,6,13-Jan-2017 09:58:09,874.494085648148
28,56,9,7,13-Jan-2017 09:59:18,874.494884259259
29,54,10,1,11-Feb-2017 10:41:54,903.524467592593
30,60,10,2,11-Feb-2017 10:43:02,903.52525462963
31,58,10,3,11-Feb-2017 10:44:08,903.526018518519
32,61,10,4,11-Feb-2017 10:45:15,903.526793981482
33,NaN,11,1,07-Jun-2017 19:48:04,1019.90375
34,54,11,2,07-Jun-2017 19:50:54,1019.90571759259
35,57,11,3,07-Jun-2017 19:52:24,1019.90675925926
36,61,11,4,07-Jun-2017 19:53:47,1019.90771990741
37,59,11,5,07-Jun-2017 19:55:03,1019.90859953704
38,60,11,6,07-Jun-2017 19:57:10,1019.91006944444
39,55,11,7,07-Jun-2017 19:58:35,1019.91105324074
40,60,11,8,07-Jun-2017 20:00:21,1019.91228009259
