gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,38,1,1,01-Jun-2015 19:04:10,0
2,42,1,2,01-Jun-2015 19:05:18,0.000787037037037037
3,45,1,3,01-Jun-2015 19:06:26,0.00157407407407407
4,46,1,4,01-Jun-2015 19:07:34,0.00236111111111111
5,46,1,5,01-Jun-2015 19:08:39,0.00311342592592593
6,47,1,6,01-Jun-2015 19:10:23,0.00431712962962963
7,45,1,7,01-Jun-2015 19:11:35,0.00515046296296296
8,46,1,8,01-Jun-2015 19:13:26,0.00643518518518518
9,49,1,9,01-Jun-2015 19:14:47,0.00737268518518518
10,47,1,10,01-Jun-2015 19:15:52,0.008125
11,45,1,11,01-Jun-2015 19:16:59,0.00890046296296296
12,43,1,12,01-Jun-2015 19:18:09,0.00971064814814815
13,40,1,13,01-Jun-2015 19:19:16,0.0104861111111111
14,43,1,14,01-Jun-2015 19:20:23,0.0112615740740741
15,49,1,15,01-Jun-2015 19:22:05,0.0124421296296296
16,50,1,16,01-Jun-2015 19:23:20,0.0133101851851852
17,49,1,17,01-Jun-2015 19:24:27,0.0140856481481481
18,53,1,18,01-Jun-2015 19:25:35,0.0148726851851852
19,45,2,1,13-Jun-2015 21:21:47,12.0955671296296
20,52,2,2,13-Jun-2015 21:22:55,12.0963541666667
21,51,3,1,15-Jun-2015 05:01:51,13.4150578703704
22,54,3,2,15-Jun-2015 05:04:02,13.4165740740741
23,56,3,3,15-Jun-2015 05:05:33,13.4176273148148
24,57,3,4,15-Jun-2015 05:10:05,13.420775462963
25,60,3,5,15-Jun-2015 05:11:16,13.4215972222222
26,52,4,1,19-Jun-2015 19:43:05,18.027025462963
27,56,4,2,19-Jun-2015 19:44:14,18.0278240740741
28,59,4,3,19-Jun-2015 19:45:22,18.0286111111111
29,58,4,4,19-Jun-2015 19:47:02,18.0297685185185
30,58,4,5,19-Jun-2015 19:53:19,18.0341319444444
31,61,4,6,19-Jun-2015 19:56:45,18.0365162037037
32,59,4,7,19-Jun-2015 19:58:26,18.0376851851852
33,61,4,8,19-Jun-2015 19:59:58,18.03875
34,60,4,9,19-Jun-2015 20:01:05,18.039525462963
35,60,4,10,19-Jun-2015 20:02:19,18.0403819444444
36,63,4,11,19-Jun-2015 20:03:25,18.0411458333333
37,53,5,1,16-Aug-2015 18:13:25,75.9647569444444
