t,y,istrain
1,64,0
2,59,0
3,72,1
4,69,1
5,72,1
6,71,0
7,79,0
8,70,0
9,75,1
10,81,0
11,84,1
12,81,0
13,90,0
14,94,1
15,85,1
16,92,1
17,84,0
18,91,1
19,86,0
20,101,0
21,94,0
22,96,1
23,101,0
24,100,1
25,92,1
26,94,1
27,97,0
28,91,1
29,102,0
30,96,1
