gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,30,1,1,04-Sep-2016 12:42:28,0
2,35,2,1,25-Dec-2016 00:30:21,111.491585648148
3,51,2,2,25-Dec-2016 00:31:29,111.492372685185
4,51,2,3,25-Dec-2016 00:32:55,111.493368055556
5,39,3,1,28-Dec-2016 23:24:05,115.44556712963
6,48,3,2,28-Dec-2016 23:25:12,115.446342592593
7,43,3,3,28-Dec-2016 23:26:19,115.447118055556
8,46,3,4,28-Dec-2016 23:27:27,115.447905092593
9,45,3,5,28-Dec-2016 23:28:32,115.448657407407
10,43,3,6,28-Dec-2016 23:29:37,115.449409722222
11,45,3,7,28-Dec-2016 23:30:44,115.450185185185
12,47,3,8,28-Dec-2016 23:31:53,115.450983796296
13,46,3,9,28-Dec-2016 23:33:00,115.451759259259
14,49,3,10,28-Dec-2016 23:34:07,115.452534722222
15,49,3,11,28-Dec-2016 23:35:12,115.453287037037
16,46,3,12,28-Dec-2016 23:36:19,115.4540625
17,49,3,13,28-Dec-2016 23:37:27,115.454849537037
18,47,3,14,28-Dec-2016 23:38:32,115.455601851852
19,48,3,15,28-Dec-2016 23:39:37,115.456354166667
20,50,3,16,28-Dec-2016 23:40:43,115.457118055556
21,52,4,1,29-Dec-2016 22:17:39,116.39943287037
22,54,4,2,29-Dec-2016 22:18:46,116.400208333333
23,46,5,1,09-Jan-2017 22:57:55,127.427395833333
24,53,5,2,09-Jan-2017 22:59:10,127.428263888889
25,55,5,3,09-Jan-2017 23:00:18,127.429050925926
26,54,5,4,09-Jan-2017 23:01:26,127.429837962963
27,52,5,5,09-Jan-2017 23:02:33,127.430613425926
28,55,5,6,09-Jan-2017 23:03:42,127.431412037037
29,56,5,7,09-Jan-2017 23:13:11,127.437997685185
30,56,5,8,09-Jan-2017 23:14:18,127.438773148148
31,55,5,9,09-Jan-2017 23:15:25,127.439548611111
32,57,5,10,09-Jan-2017 23:16:31,127.4403125
33,48,6,1,25-Jun-2017 00:04:32,293.473657407407
34,50,6,2,25-Jun-2017 00:06:03,293.474710648148
35,53,6,3,25-Jun-2017 00:07:13,293.475520833333
36,55,6,4,25-Jun-2017 00:08:28,293.476388888889
37,55,6,5,25-Jun-2017 00:09:37,293.4771875
38,54,6,6,25-Jun-2017 00:10:45,293.477974537037
39,56,6,7,25-Jun-2017 00:11:55,293.478784722222
40,54,6,8,25-Jun-2017 00:13:09,293.479641203704
41,53,6,9,25-Jun-2017 00:14:19,293.480451388889
42,58,6,10,25-Jun-2017 00:17:52,293.482916666667
43,59,6,11,25-Jun-2017 00:18:59,293.48369212963
