gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,23,1,1,26-Jul-2015 09:12:36,0
2,26,1,2,26-Jul-2015 09:13:47,0.000821759259259259
3,25,1,3,26-Jul-2015 09:14:55,0.0016087962962963
4,26,1,4,26-Jul-2015 09:16:11,0.00248842592592593
5,28,1,5,26-Jul-2015 09:17:19,0.00327546296296296
6,19,2,1,01-Aug-2015 03:56:05,5.78019675925926
7,NaN,2,2,01-Aug-2015 03:57:16,5.78101851851852
8,27,2,3,01-Aug-2015 03:58:30,5.781875
9,27,2,4,01-Aug-2015 03:59:35,5.78262731481481
10,23,3,1,09-Aug-2015 00:43:55,13.6467476851852
11,31,3,2,09-Aug-2015 00:45:05,13.6475578703704
12,31,3,3,09-Aug-2015 00:46:12,13.6483333333333
13,34,3,4,09-Aug-2015 00:47:20,13.6491203703704
14,30,3,5,09-Aug-2015 00:48:28,13.6499074074074
15,31,3,6,09-Aug-2015 00:49:39,13.6507291666667
16,33,3,7,09-Aug-2015 00:50:54,13.6515972222222
17,37,3,8,09-Aug-2015 00:52:13,13.6525115740741
18,29,4,1,12-Aug-2015 00:18:30,16.6290972222222
19,33,4,2,12-Aug-2015 00:19:44,16.6299537037037
20,33,4,3,12-Aug-2015 00:20:52,16.6307407407407
21,32,4,4,12-Aug-2015 00:24:33,16.6332986111111
22,35,4,5,12-Aug-2015 00:26:01,16.6343171296296
23,NaN,4,6,12-Aug-2015 00:27:07,16.6350810185185
24,38,5,1,14-Aug-2015 21:49:45,19.5257986111111
25,34,6,1,15-Aug-2015 16:11:12,20.2906944444444
26,36,6,2,15-Aug-2015 16:12:21,20.2914930555556
27,37,6,3,15-Aug-2015 16:13:27,20.2922569444444
28,38,6,4,15-Aug-2015 16:14:33,20.2930208333333
29,37,6,5,15-Aug-2015 16:15:35,20.2937384259259
30,34,6,6,15-Aug-2015 16:16:38,20.2944675925926
31,41,6,7,15-Aug-2015 16:17:45,20.2952430555556
32,39,6,8,15-Aug-2015 16:18:47,20.2959606481482
33,43,6,9,15-Aug-2015 16:20:03,20.2968402777778
34,42,6,10,15-Aug-2015 16:21:04,20.2975462962963
35,30,7,1,06-Sep-2015 11:13:41,42.0840856481482
36,35,7,2,06-Sep-2015 11:15:49,42.0855671296296
37,33,7,3,06-Sep-2015 11:17:10,42.0865046296296
38,38,7,4,06-Sep-2015 11:18:30,42.0874305555556
39,40,7,5,06-Sep-2015 11:19:51,42.0883680555556
40,37,8,1,10-Sep-2015 01:00:05,45.657974537037
41,38,8,2,10-Sep-2015 01:01:23,45.6588773148148
42,33,8,3,10-Sep-2015 01:03:04,45.6600462962963
43,38,8,4,10-Sep-2015 01:04:12,45.6608333333333
44,35,8,5,10-Sep-2015 01:05:19,45.6616087962963
45,40,8,6,10-Sep-2015 01:06:28,45.6624074074074
46,36,8,7,10-Sep-2015 01:08:26,45.6637731481481
47,36,8,8,10-Sep-2015 01:09:35,45.6645717592593
48,37,8,9,10-Sep-2015 01:10:44,45.6653703703704
49,37,8,10,10-Sep-2015 01:12:01,45.6662615740741
50,38,8,11,10-Sep-2015 01:13:21,45.6671875
51,37,9,1,19-Sep-2015 10:15:35,55.0437384259259
52,42,9,2,19-Sep-2015 10:16:48,55.0445833333333
53,40,9,3,19-Sep-2015 10:18:11,55.0455439814815
54,43,9,4,19-Sep-2015 10:19:21,55.0463541666667
55,41,9,5,19-Sep-2015 10:20:31,55.0471643518518
56,44,9,6,19-Sep-2015 10:22:36,55.0486111111111
57,39,9,7,19-Sep-2015 10:23:50,55.0494675925926
58,43,9,8,19-Sep-2015 10:25:01,55.0502893518519
59,44,9,9,19-Sep-2015 10:26:17,55.0511689814815
60,48,9,10,19-Sep-2015 10:27:42,55.0521527777778
61,42,10,1,21-Sep-2015 16:09:42,57.2896527777778
62,40,10,2,21-Sep-2015 16:10:53,57.290474537037
63,42,10,3,21-Sep-2015 16:12:07,57.2913310185185
64,39,10,4,21-Sep-2015 16:13:11,57.2920717592593
65,39,10,5,21-Sep-2015 16:14:22,57.2928935185185
66,38,11,1,28-Oct-2015 18:09:06,94.3725694444445
67,39,11,2,28-Oct-2015 18:10:49,94.3737615740741
68,43,11,3,28-Oct-2015 18:14:14,94.3761342592593
69,38,11,4,28-Oct-2015 18:15:30,94.3770138888889
70,45,11,5,28-Oct-2015 18:16:46,94.3778935185185
71,43,11,6,28-Oct-2015 18:18:01,94.3787615740741
72,41,11,7,28-Oct-2015 18:19:13,94.3795949074074
73,40,11,8,28-Oct-2015 18:20:23,94.3804050925926
74,41,11,9,28-Oct-2015 18:21:45,94.3813541666667
75,39,11,10,28-Oct-2015 18:24:11,94.3830439814815
76,41,11,11,28-Oct-2015 18:25:19,94.3838310185185
77,46,11,12,28-Oct-2015 18:27:10,94.3851157407408
78,42,11,13,28-Oct-2015 18:28:28,94.3860185185185
79,43,11,14,28-Oct-2015 18:29:47,94.3869328703704
80,41,11,15,28-Oct-2015 18:34:10,94.3899768518519
81,46,11,16,28-Oct-2015 18:54:03,94.4037847222222
82,42,12,1,31-Oct-2015 01:27:05,96.6767245370371
83,38,12,2,31-Oct-2015 01:28:13,96.6775115740741
84,40,12,3,31-Oct-2015 01:29:18,96.6782638888889
85,40,12,4,31-Oct-2015 01:30:28,96.6790740740741
86,40,12,5,31-Oct-2015 01:31:35,96.6798495370371
