gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,58,1,1,27-May-2016 18:14:13,0
2,59,1,2,27-May-2016 18:15:15,0.000717592592592593
3,62,1,3,27-May-2016 18:22:56,0.00605324074074074
4,58,1,4,27-May-2016 18:23:58,0.00677083333333333
5,62,1,5,27-May-2016 18:25:02,0.00751157407407407
6,66,1,6,27-May-2016 19:19:39,0.0454398148148148
7,68,1,7,27-May-2016 19:20:43,0.0461805555555556
8,67,1,8,27-May-2016 19:21:46,0.0469097222222222
9,59,2,1,27-May-2016 22:48:11,0.19025462962963
10,65,2,2,27-May-2016 22:49:17,0.191018518518519
11,64,2,3,27-May-2016 22:50:20,0.191747685185185
12,64,2,4,27-May-2016 22:51:22,0.192465277777778
13,65,3,1,28-May-2016 23:11:00,1.20609953703704
14,65,4,1,30-May-2016 18:45:54,3.02200231481481
15,67,5,1,07-Jun-2016 18:57:47,11.0302546296296
16,65,5,2,07-Jun-2016 18:58:51,11.0309953703704
17,70,5,3,07-Jun-2016 18:59:55,11.0317361111111
18,70,5,4,07-Jun-2016 19:00:59,11.0324768518519
