gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,41,1,1,18-Oct-2014 06:11:18,0
2,48,2,1,24-Oct-2014 11:11:33,6.20850694444444
3,53,2,2,24-Oct-2014 11:12:40,6.20928240740741
4,57,2,3,24-Oct-2014 11:13:45,6.21003472222222
5,49,2,4,24-Oct-2014 11:15:00,6.21090277777778
6,54,3,1,27-Oct-2014 06:29:36,9.01270833333333
7,60,3,2,27-Oct-2014 06:30:46,9.01351851851852
8,63,3,3,27-Oct-2014 06:31:55,9.01431712962963
9,64,3,4,27-Oct-2014 06:33:03,9.01510416666667
10,66,3,5,27-Oct-2014 06:34:09,9.01586805555556
11,60,4,1,04-Nov-2014 16:46:02,17.440787037037
12,NaN,4,2,04-Nov-2014 16:47:08,17.4415509259259
13,65,4,3,04-Nov-2014 16:48:13,17.4423032407407
14,64,4,4,04-Nov-2014 16:49:18,17.4430555555556
15,64,4,5,04-Nov-2014 16:50:24,17.4438194444444
16,63,4,6,04-Nov-2014 16:51:27,17.4445486111111
17,63,5,1,06-Nov-2014 17:02:46,19.4524074074074
18,65,5,2,06-Nov-2014 17:03:54,19.4531944444444
19,68,5,3,06-Nov-2014 17:04:57,19.4539236111111
20,70,5,4,06-Nov-2014 17:06:07,19.4547337962963
21,66,5,5,06-Nov-2014 17:07:14,19.4555092592593
22,66,5,6,06-Nov-2014 17:08:25,19.4563310185185
23,66,5,7,06-Nov-2014 17:09:30,19.4570833333333
24,68,5,8,06-Nov-2014 17:10:33,19.4578125
25,69,5,9,06-Nov-2014 17:11:37,19.4585532407407
26,66,5,10,06-Nov-2014 17:12:41,19.4592939814815
27,67,5,11,06-Nov-2014 17:13:43,19.4600115740741
28,69,5,12,06-Nov-2014 17:14:47,19.4607523148148
29,67,6,1,26-Nov-2014 08:54:53,39.113599537037
30,66,6,2,26-Nov-2014 08:56:02,39.1143981481481
31,70,6,3,26-Nov-2014 08:57:07,39.115150462963
32,67,6,4,26-Nov-2014 08:58:16,39.1159490740741
33,68,6,5,26-Nov-2014 08:59:21,39.1167013888889
34,69,6,6,26-Nov-2014 09:00:26,39.1174537037037
35,64,7,1,06-Dec-2014 08:55:33,49.1140625
36,68,7,2,06-Dec-2014 08:57:03,49.1151041666667
37,69,7,3,06-Dec-2014 08:58:06,49.1158333333333
38,69,7,4,06-Dec-2014 08:59:08,49.1165509259259
39,73,7,5,06-Dec-2014 09:00:14,49.1173148148148
40,70,7,6,06-Dec-2014 09:01:16,49.1180324074074
41,71,7,7,06-Dec-2014 09:02:19,49.1187615740741
