gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,57,1,1,19-Aug-2014 12:13:27,0
2,66,2,1,19-Aug-2014 13:57:26,0.0722106481481481
3,70,2,2,19-Aug-2014 13:58:32,0.072974537037037
4,64,2,3,19-Aug-2014 13:59:38,0.0737384259259259
5,71,2,4,19-Aug-2014 14:00:47,0.074537037037037
6,72,2,5,19-Aug-2014 14:47:39,0.107083333333333
7,68,2,6,19-Aug-2014 14:48:51,0.107916666666667
8,74,2,7,19-Aug-2014 14:50:00,0.108715277777778
9,71,2,8,19-Aug-2014 14:51:06,0.109479166666667
10,72,2,9,19-Aug-2014 14:52:08,0.110196759259259
11,72,2,10,19-Aug-2014 14:53:14,0.110960648148148
12,72,2,11,19-Aug-2014 14:54:23,0.111759259259259
13,70,2,12,19-Aug-2014 14:55:28,0.112511574074074
14,71,2,13,19-Aug-2014 14:56:32,0.113252314814815
15,71,2,14,19-Aug-2014 15:49:20,0.149918981481481
16,72,2,15,19-Aug-2014 15:50:29,0.150717592592593
17,76,2,16,19-Aug-2014 15:51:42,0.1515625
18,76,2,17,19-Aug-2014 15:52:53,0.152384259259259
19,76,2,18,19-Aug-2014 15:53:57,0.153125
20,76,2,19,19-Aug-2014 15:55:07,0.153935185185185
21,72,2,20,19-Aug-2014 15:56:16,0.154733796296296
22,75,2,21,19-Aug-2014 15:58:03,0.155972222222222
23,74,2,22,19-Aug-2014 15:59:08,0.156724537037037
24,77,2,23,19-Aug-2014 16:00:13,0.157476851851852
25,73,2,24,19-Aug-2014 16:01:53,0.158634259259259
26,71,2,25,19-Aug-2014 16:03:02,0.15943287037037
27,71,2,26,19-Aug-2014 16:04:06,0.160173611111111
28,70,3,1,19-Aug-2014 19:20:49,0.296782407407407
29,NaN,3,2,19-Aug-2014 19:22:08,0.297696759259259
30,73,3,3,19-Aug-2014 19:23:24,0.298576388888889
31,74,3,4,19-Aug-2014 19:24:35,0.299398148148148
32,76,3,5,19-Aug-2014 19:25:48,0.300243055555556
33,74,3,6,19-Aug-2014 19:27:00,0.301076388888889
34,71,3,7,19-Aug-2014 19:28:11,0.301898148148148
35,74,3,8,19-Aug-2014 19:29:22,0.302719907407407
36,75,3,9,19-Aug-2014 19:30:32,0.303530092592593
37,75,3,10,19-Aug-2014 19:31:45,0.304375
38,74,3,11,19-Aug-2014 19:32:56,0.305196759259259
39,70,3,12,19-Aug-2014 19:34:11,0.306064814814815
40,73,3,13,19-Aug-2014 19:35:23,0.306898148148148
41,70,4,1,23-Aug-2014 20:09:41,4.33071759259259
42,74,5,1,30-Aug-2014 10:28:49,10.927337962963
43,70,6,1,01-Sep-2014 13:37:21,13.0582638888889
44,70,7,1,02-Sep-2014 14:28:59,14.0941203703704
45,72,8,1,22-Mar-2016 17:02:59,581.201064814815
46,71,8,2,22-Mar-2016 17:04:13,581.201921296296
