gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,35,1,1,03-Aug-2015 21:36:01,0
2,34,1,2,03-Aug-2015 21:37:13,0.000833333333333333
3,37,1,3,03-Aug-2015 21:38:19,0.00159722222222222
4,39,1,4,03-Aug-2015 21:39:30,0.00241898148148148
5,41,1,5,03-Aug-2015 21:40:40,0.00322916666666667
6,41,2,1,09-Aug-2015 14:17:56,5.69577546296296
7,44,2,2,09-Aug-2015 14:19:01,5.69652777777778
8,45,2,3,09-Aug-2015 14:20:03,5.69724537037037
9,47,2,4,09-Aug-2015 14:21:08,5.69799768518518
10,45,2,5,09-Aug-2015 14:22:13,5.69875
11,44,2,6,09-Aug-2015 14:23:21,5.69953703703704
12,46,3,1,11-Aug-2015 00:39:53,7.12768518518518
13,49,3,2,11-Aug-2015 00:41:03,7.12849537037037
14,52,3,3,11-Aug-2015 00:42:09,7.12925925925926
15,51,3,4,11-Aug-2015 00:43:28,7.13017361111111
16,51,3,5,11-Aug-2015 00:44:33,7.13092592592592
17,53,3,6,11-Aug-2015 00:45:41,7.13171296296296
18,49,4,1,12-Aug-2015 16:21:29,8.78157407407407
19,54,4,2,12-Aug-2015 16:22:41,8.7824074074074
20,53,4,3,12-Aug-2015 16:24:02,8.7833449074074
21,52,4,4,12-Aug-2015 16:25:07,8.78409722222222
22,57,4,5,12-Aug-2015 16:26:16,8.78489583333333
23,56,4,6,12-Aug-2015 16:27:21,8.78564814814814
24,52,4,7,12-Aug-2015 16:28:26,8.78640046296296
25,52,4,8,12-Aug-2015 16:29:43,8.78729166666666
26,56,4,9,12-Aug-2015 16:30:48,8.78804398148148
27,56,4,10,12-Aug-2015 16:31:54,8.78880787037037
28,57,4,11,12-Aug-2015 16:33:03,8.78960648148148
29,56,4,12,12-Aug-2015 16:34:17,8.79046296296296
30,56,4,13,12-Aug-2015 16:35:26,8.79126157407407
31,54,5,1,18-Aug-2015 17:26:59,14.8270601851852
32,57,5,2,18-Aug-2015 17:28:19,14.8279861111111
33,57,5,3,18-Aug-2015 17:29:22,14.8287152777778
34,57,5,4,18-Aug-2015 17:31:03,14.8298842592593
35,58,5,5,18-Aug-2015 17:33:25,14.8315277777778
36,57,5,6,18-Aug-2015 17:34:30,14.8322800925926
37,46,6,1,02-Jan-2016 15:31:51,151.747106481481
38,54,6,2,02-Jan-2016 15:33:04,151.747951388889
39,52,6,3,02-Jan-2016 15:34:13,151.74875
