gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,52,1,1,05-Apr-2013 15:43:35,0
2,61,1,2,05-Apr-2013 15:45:43,0.00148148148148148
3,61,1,3,05-Apr-2013 15:46:48,0.0022337962962963
4,56,1,4,05-Apr-2013 15:47:51,0.00296296296296296
5,61,1,5,05-Apr-2013 15:48:53,0.00368055555555556
6,60,2,1,09-May-2013 11:03:55,33.805787037037
7,64,2,2,09-May-2013 11:05:01,33.8065509259259
8,60,3,1,13-May-2013 08:50:18,37.7129976851852
9,68,3,2,13-May-2013 08:51:23,37.71375
10,65,3,3,13-May-2013 08:52:27,37.7144907407407
11,65,3,4,13-May-2013 08:53:30,37.7152199074074
12,64,3,5,13-May-2013 08:54:32,37.7159375
13,69,4,1,15-May-2013 14:26:15,39.9462962962963
14,67,4,2,15-May-2013 14:27:34,39.9472106481482
15,70,4,3,15-May-2013 14:29:39,39.9486574074074
16,60,5,1,03-Jul-2014 16:16:00,454.022511574074
17,59,5,2,03-Jul-2014 16:17:02,454.023229166667
18,63,5,3,03-Jul-2014 16:18:03,454.023935185185
19,62,5,4,03-Jul-2014 16:19:04,454.024641203704
20,57,6,1,05-Jul-2014 11:03:53,455.805763888889
21,58,7,1,14-Aug-2014 10:27:31,495.780509259259
22,64,7,2,14-Aug-2014 10:28:35,495.78125
23,61,7,3,14-Aug-2014 10:30:28,495.782557870371
24,60,7,4,14-Aug-2014 10:31:30,495.783275462963
25,62,7,5,14-Aug-2014 10:32:32,495.783993055556
26,62,7,6,14-Aug-2014 10:33:34,495.784710648148
