gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,37,1,1,10-Feb-2016 22:00:39,0
2,42,1,2,10-Feb-2016 22:01:42,0.000729166666666667
3,38,2,1,15-Feb-2016 16:34:21,4.77340277777778
4,43,2,2,15-Feb-2016 16:35:26,4.77415509259259
5,44,2,3,15-Feb-2016 16:36:28,4.77487268518519
6,47,2,4,15-Feb-2016 16:37:39,4.77569444444444
7,43,2,5,15-Feb-2016 16:38:42,4.77642361111111
8,43,2,6,15-Feb-2016 16:39:44,4.7771412037037
9,44,2,7,15-Feb-2016 16:40:47,4.77787037037037
10,43,2,8,15-Feb-2016 16:41:49,4.77858796296296
11,49,2,9,15-Feb-2016 16:42:51,4.77930555555556
12,48,2,10,15-Feb-2016 16:43:53,4.78002314814815
13,50,2,11,15-Feb-2016 16:44:56,4.78075231481482
14,43,3,1,01-Mar-2016 22:52:59,20.0363425925926
15,50,3,2,01-Mar-2016 22:54:04,20.0370949074074
16,48,3,3,01-Mar-2016 22:55:05,20.0378009259259
17,50,3,4,01-Mar-2016 22:56:06,20.0385069444444
18,52,3,5,01-Mar-2016 22:57:08,20.039224537037
19,50,4,1,02-Mar-2016 22:24:53,21.0168287037037
20,51,4,2,02-Mar-2016 22:25:55,21.0175462962963
21,53,4,3,02-Mar-2016 22:26:58,21.018275462963
22,53,4,4,02-Mar-2016 22:28:02,21.0190162037037
23,49,4,5,02-Mar-2016 22:29:05,21.0197453703704
24,50,4,6,02-Mar-2016 22:30:09,21.0204861111111
25,56,4,7,02-Mar-2016 22:31:14,21.0212384259259
26,55,4,8,02-Mar-2016 22:32:20,21.0220023148148
27,55,4,9,02-Mar-2016 22:33:24,21.0227430555556
28,56,4,10,02-Mar-2016 22:34:27,21.0234722222222
29,55,4,11,02-Mar-2016 22:35:31,21.024212962963
30,57,5,1,31-Mar-2016 18:28:40,49.8527893518519
31,53,6,1,09-Apr-2016 15:50:08,58.7426967592593
32,57,6,2,09-Apr-2016 15:51:07,58.7433796296296
33,57,6,3,09-Apr-2016 15:52:08,58.7440856481482
34,56,6,4,09-Apr-2016 15:53:09,58.7447916666667
35,57,6,5,09-Apr-2016 15:54:12,58.7455208333333
36,60,6,6,09-Apr-2016 15:55:12,58.7462152777778
37,56,6,7,09-Apr-2016 15:56:14,58.7469328703704
38,58,6,8,09-Apr-2016 15:57:15,58.7476388888889
39,58,6,9,09-Apr-2016 15:58:16,58.7483449074074
40,55,6,10,09-Apr-2016 15:59:17,58.7490509259259
41,59,6,11,09-Apr-2016 16:00:19,58.7497685185185
42,54,7,1,26-Apr-2016 21:51:57,75.9939583333333
43,59,7,2,26-Apr-2016 21:52:59,75.9946759259259
44,60,7,3,26-Apr-2016 21:54:01,75.9953935185185
45,57,8,1,26-May-2016 20:37:14,105.942071759259
