gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,40,1,1,05-Sep-2013 21:38:46,0
2,43,1,2,05-Sep-2013 21:39:52,0.000763888888888889
3,51,2,1,08-Sep-2013 09:30:11,2.49403935185185
4,47,2,2,08-Sep-2013 09:31:25,2.49489583333333
5,49,2,3,08-Sep-2013 09:32:32,2.4956712962963
6,51,2,4,08-Sep-2013 09:33:47,2.49653935185185
7,34,3,1,26-Nov-2014 17:08:17,446.812164351852
8,49,3,2,26-Nov-2014 17:09:54,446.813287037037
9,46,3,3,26-Nov-2014 17:11:05,446.814108796296
10,51,3,4,26-Nov-2014 17:12:22,446.815
11,56,3,5,26-Nov-2014 17:15:35,446.817233796296
12,50,4,1,28-Nov-2014 14:17:27,448.693530092593
13,55,4,2,28-Nov-2014 14:18:31,448.694270833333
14,48,4,3,28-Nov-2014 14:21:01,448.696006944444
15,56,4,4,28-Nov-2014 14:22:03,448.696724537037
16,57,4,5,28-Nov-2014 14:23:27,448.697696759259
17,57,4,6,28-Nov-2014 14:24:32,448.698449074074
18,60,4,7,28-Nov-2014 14:25:36,448.699189814815
19,48,5,1,04-Sep-2015 11:11:28,728.564375
20,57,5,2,04-Sep-2015 11:12:47,728.565289351852
21,56,5,3,04-Sep-2015 11:13:55,728.566076388889
22,59,5,4,04-Sep-2015 11:15:27,728.567141203704
23,56,6,1,19-Sep-2015 13:23:16,743.655902777778
24,54,6,2,19-Sep-2015 13:50:09,743.674571759259
25,63,6,3,19-Sep-2015 13:51:22,743.675416666667
26,59,6,4,19-Sep-2015 13:53:28,743.676875
27,59,6,5,19-Sep-2015 13:55:08,743.678032407407
28,63,6,6,19-Sep-2015 13:56:16,743.678819444445
29,60,6,7,19-Sep-2015 13:57:50,743.679907407408
30,63,6,8,19-Sep-2015 13:59:15,743.680891203704
31,62,6,9,19-Sep-2015 14:00:19,743.681631944445
32,59,7,1,11-Sep-2016 22:05:09,1102.01832175926
33,61,7,2,11-Sep-2016 22:06:21,1102.01915509259
34,60,7,3,11-Sep-2016 22:07:31,1102.01996527778
35,59,8,1,18-Sep-2016 16:02:58,1108.76680555556
36,64,8,2,18-Sep-2016 16:05:12,1108.76835648148
37,64,8,3,18-Sep-2016 16:06:18,1108.76912037037
38,64,8,4,18-Sep-2016 16:08:03,1108.77033564815
39,58,9,1,30-Sep-2016 05:32:49,1120.32920138889
40,47,10,1,17-Nov-2016 20:56:31,1168.97065972222
41,61,10,2,17-Nov-2016 20:57:51,1168.97158564815
42,62,10,3,17-Nov-2016 21:00:42,1168.97356481481
43,64,10,4,17-Nov-2016 21:03:05,1168.97521990741
44,62,10,5,17-Nov-2016 21:04:12,1168.97599537037
45,60,10,6,17-Nov-2016 21:06:08,1168.97733796296
46,66,10,7,17-Nov-2016 21:09:03,1168.97936342593
47,60,10,8,17-Nov-2016 21:12:08,1168.98150462963
48,69,10,9,17-Nov-2016 21:24:44,1168.99025462963
49,64,11,1,05-Dec-2016 09:54:12,1186.51071759259
