gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,45,1,1,13-Aug-2015 11:14:14,0
2,40,2,1,14-Aug-2015 13:37:14,1.09930555555556
3,41,2,2,14-Aug-2015 13:38:27,1.10015046296296
4,45,2,3,14-Aug-2015 13:39:47,1.10107638888889
5,44,3,1,16-Aug-2015 14:27:41,3.13434027777778
6,46,3,2,16-Aug-2015 14:29:08,3.13534722222222
7,48,4,1,19-Aug-2015 09:45:05,5.93809027777778
8,49,4,2,19-Aug-2015 09:46:37,5.93915509259259
9,48,4,3,19-Aug-2015 09:49:02,5.94083333333333
10,44,4,4,19-Aug-2015 10:16:12,5.95969907407407
11,47,4,5,19-Aug-2015 10:17:22,5.96050925925926
12,49,5,1,21-Aug-2015 16:53:27,8.23556712962963
13,46,5,2,21-Aug-2015 16:54:41,8.23642361111111
14,49,5,3,21-Aug-2015 16:55:56,8.23729166666667
15,50,6,1,24-Aug-2015 21:13:38,11.41625
16,48,7,1,26-Aug-2015 21:22:56,13.4227083333333
17,49,7,2,26-Aug-2015 21:24:14,13.4236111111111
18,51,8,1,01-Sep-2015 21:22:54,19.4226851851852
19,52,8,2,01-Sep-2015 21:24:09,19.4235532407407
20,49,9,1,11-Sep-2015 10:24:13,28.9652662037037
21,51,9,2,11-Sep-2015 10:25:21,28.9660532407407
22,51,9,3,11-Sep-2015 10:26:30,28.9668518518519
23,51,9,4,11-Sep-2015 10:27:38,28.9676388888889
24,52,9,5,11-Sep-2015 10:28:44,28.9684027777778
25,51,10,1,05-Oct-2015 16:09:52,53.2053009259259
26,52,10,2,05-Oct-2015 16:11:29,53.2064236111111
27,51,10,3,05-Oct-2015 16:13:03,53.2075115740741
28,51,10,4,05-Oct-2015 16:14:10,53.208287037037
29,54,10,5,05-Oct-2015 16:15:20,53.2090972222222
30,47,11,1,24-Oct-2015 19:56:46,72.3628703703704
31,51,11,2,24-Oct-2015 19:57:56,72.3636805555556
32,49,11,3,24-Oct-2015 19:59:07,72.3645023148148
33,52,11,4,24-Oct-2015 20:00:25,72.3654050925926
34,48,12,1,26-Jan-2016 12:37:23,166.057743055556
35,49,12,2,26-Jan-2016 12:39:00,166.058865740741
36,51,12,3,26-Jan-2016 12:40:17,166.059756944444
37,NaN,12,4,26-Jan-2016 12:41:27,166.06056712963
38,52,12,5,26-Jan-2016 12:42:36,166.061365740741
39,50,13,1,31-Jan-2016 18:36:34,171.307175925926
40,55,13,2,31-Jan-2016 18:38:08,171.308263888889
41,52,13,3,31-Jan-2016 18:39:25,171.309155092593
42,53,13,4,31-Jan-2016 18:40:37,171.309988425926
43,49,14,1,02-Feb-2016 10:09:35,172.955104166667
44,54,14,2,02-Feb-2016 10:10:45,172.955914351852
45,52,14,3,02-Feb-2016 10:11:57,172.956747685185
46,53,14,4,02-Feb-2016 10:13:10,172.957592592593
47,51,14,5,02-Feb-2016 10:14:32,172.958541666667
48,46,15,1,28-Jul-2017 21:48:09,715.440219907407
49,49,15,2,28-Jul-2017 21:49:36,715.441226851852
50,51,15,3,28-Jul-2017 21:50:46,715.442037037037
51,50,15,4,28-Jul-2017 21:51:58,715.44287037037
52,49,15,5,28-Jul-2017 21:53:17,715.443784722222
53,49,15,6,28-Jul-2017 21:54:38,715.444722222222
54,51,15,7,28-Jul-2017 21:55:52,715.445578703704
55,49,15,8,28-Jul-2017 21:57:19,715.446585648148
56,49,15,9,28-Jul-2017 21:58:29,715.447395833333
57,51,15,10,28-Jul-2017 21:59:47,715.448298611111
58,50,15,11,28-Jul-2017 22:01:01,715.449155092593
