gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,29,1,1,25-Feb-2014 13:27:01,0
2,31,2,1,31-Mar-2014 09:21:29,33.8294907407407
3,33,3,1,03-Apr-2014 12:23:03,36.9555787037037
4,40,4,1,04-Apr-2014 10:54:55,37.894375
5,36,5,1,05-Apr-2014 09:34:32,38.8385532407407
6,40,5,2,05-Apr-2014 09:37:06,38.8403356481481
7,42,5,3,05-Apr-2014 09:38:17,38.8411574074074
8,36,6,1,05-Apr-2014 11:04:11,38.9008101851852
9,42,6,2,05-Apr-2014 11:05:20,38.9016087962963
10,42,6,3,05-Apr-2014 11:06:51,38.902662037037
11,37,7,1,12-Apr-2014 11:23:17,45.9140740740741
12,41,7,2,12-Apr-2014 11:24:26,45.9148726851852
13,44,7,3,12-Apr-2014 11:25:40,45.9157291666667
14,NaN,8,1,17-Jul-2014 08:44:45,141.803981481481
15,48,8,2,17-Jul-2014 08:45:59,141.804837962963
16,51,8,3,17-Jul-2014 08:47:08,141.805636574074
17,52,8,4,17-Jul-2014 08:48:14,141.806400462963
18,49,8,5,17-Jul-2014 08:49:24,141.807210648148
19,45,9,1,19-Jul-2014 12:50:37,143.974722222222
20,53,9,2,19-Jul-2014 12:51:42,143.975474537037
21,50,9,3,19-Jul-2014 12:52:50,143.976261574074
22,42,10,1,22-Jul-2014 09:31:00,146.836099537037
23,51,10,2,22-Jul-2014 09:32:07,146.836875
24,46,10,3,22-Jul-2014 09:33:14,146.837650462963
25,49,10,4,22-Jul-2014 09:34:20,146.838414351852
26,50,10,5,22-Jul-2014 09:35:34,146.839270833333
27,52,10,6,22-Jul-2014 09:36:40,146.840034722222
28,51,10,7,22-Jul-2014 09:37:45,146.840787037037
29,44,11,1,03-Jan-2015 10:17:39,311.86849537037
30,51,11,2,03-Jan-2015 10:18:46,311.869270833333
31,49,11,3,03-Jan-2015 10:19:51,311.870023148148
32,51,11,4,03-Jan-2015 10:20:58,311.870798611111
33,53,11,5,03-Jan-2015 10:22:01,311.871527777778
34,50,11,6,03-Jan-2015 10:23:03,311.87224537037
35,53,11,7,03-Jan-2015 10:24:08,311.872997685185
36,47,12,1,07-Jan-2015 11:50:44,315.933136574074
37,46,12,2,07-Jan-2015 12:26:32,315.957997685185
38,53,12,3,07-Jan-2015 12:27:38,315.958761574074
39,55,12,4,07-Jan-2015 12:28:40,315.959479166667
40,54,12,5,07-Jan-2015 12:29:45,315.960231481481
41,52,12,6,07-Jan-2015 12:31:37,315.961527777778
42,31,12,7,07-Jan-2015 12:32:43,315.962291666667
43,51,12,8,07-Jan-2015 12:33:44,315.962997685185
44,41,13,1,16-Feb-2016 14:02:02,721.02431712963
45,51,13,2,16-Feb-2016 14:03:07,721.025069444445
46,56,13,3,16-Feb-2016 14:04:13,721.025833333333
47,54,13,4,16-Feb-2016 14:05:19,721.026597222222
48,55,13,5,16-Feb-2016 14:06:22,721.027326388889
49,53,13,6,16-Feb-2016 14:07:32,721.028136574074
50,56,13,7,16-Feb-2016 14:08:36,721.028877314815
51,54,13,8,16-Feb-2016 14:09:42,721.029641203704
52,51,13,9,16-Feb-2016 14:10:46,721.030381944444
