gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,41,1,1,05-Apr-2014 08:22:54,0
2,48,1,2,05-Apr-2014 08:24:06,0.000833333333333333
3,44,2,1,06-Apr-2014 19:19:32,1.45599537037037
4,47,2,2,06-Apr-2014 19:20:45,1.45684027777778
5,48,2,3,06-Apr-2014 19:21:48,1.45756944444444
6,40,3,1,11-Apr-2014 22:09:34,6.57407407407407
7,43,3,2,11-Apr-2014 22:10:48,6.57493055555555
8,44,3,3,11-Apr-2014 22:12:08,6.57585648148148
9,44,3,4,11-Apr-2014 22:13:27,6.57677083333333
10,44,3,5,11-Apr-2014 22:14:40,6.57761574074074
11,42,3,6,11-Apr-2014 22:15:50,6.57842592592592
12,NaN,4,1,18-Apr-2014 21:16:42,13.5373611111111
13,42,4,2,18-Apr-2014 21:17:50,13.5381481481481
14,42,4,3,18-Apr-2014 21:18:56,13.538912037037
15,45,4,4,18-Apr-2014 21:20:02,13.5396759259259
16,45,4,5,18-Apr-2014 21:21:05,13.5404050925926
17,44,4,6,18-Apr-2014 21:22:13,13.5411921296296
18,46,4,7,18-Apr-2014 21:23:20,13.5419675925926
19,44,4,8,18-Apr-2014 21:24:25,13.5427199074074
20,43,4,9,18-Apr-2014 21:25:30,13.5434722222222
21,41,4,10,18-Apr-2014 21:26:37,13.5442476851852
22,45,4,11,18-Apr-2014 21:27:47,13.5450578703704
23,48,4,12,18-Apr-2014 21:28:52,13.5458101851852
24,44,4,13,18-Apr-2014 21:29:57,13.5465625
25,48,4,14,18-Apr-2014 21:31:03,13.5473263888889
26,46,4,15,18-Apr-2014 21:32:08,13.5480787037037
27,44,5,1,23-May-2014 19:48:34,48.4761574074074
28,48,5,2,23-May-2014 19:49:39,48.4769097222222
29,50,5,3,23-May-2014 19:50:45,48.4776736111111
30,43,6,1,25-Apr-2015 15:43:15,385.305798611111
31,52,6,2,25-Apr-2015 15:44:21,385.3065625
32,49,7,1,26-Apr-2015 18:56:34,386.440046296296
33,52,7,2,26-Apr-2015 18:57:55,386.440983796296
34,48,8,1,03-May-2015 19:23:58,393.459074074074
35,48,8,2,03-May-2015 19:25:01,393.459803240741
36,50,8,3,03-May-2015 19:26:49,393.461053240741
37,49,8,4,03-May-2015 19:27:52,393.461782407407
38,51,8,5,03-May-2015 19:28:56,393.462523148148
39,51,8,6,03-May-2015 19:30:08,393.463356481482
40,50,8,7,03-May-2015 19:31:12,393.464097222222
41,48,9,1,06-May-2015 18:36:03,396.425798611111
42,50,9,2,06-May-2015 18:37:09,396.4265625
43,50,9,3,06-May-2015 18:38:12,396.427291666667
44,49,9,4,06-May-2015 18:39:16,396.428032407407
45,48,9,5,06-May-2015 18:40:20,396.428773148148
46,48,9,6,06-May-2015 18:41:23,396.429502314815
