gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,49,1,1,28-Dec-2013 11:31:07,0
2,55,2,1,31-Dec-2013 13:07:00,3.06658564814815
3,60,3,1,04-Jan-2014 09:53:42,6.93234953703704
4,63,3,2,04-Jan-2014 09:54:52,6.93315972222222
5,64,4,1,07-Jan-2014 21:45:58,10.4269791666667
6,66,4,2,07-Jan-2014 21:47:04,10.4277430555556
7,66,4,3,07-Jan-2014 21:48:10,10.4285069444444
8,65,5,1,13-Jan-2014 00:14:31,15.5301388888889
9,67,5,2,13-Jan-2014 00:15:37,15.5309027777778
10,65,5,3,13-Jan-2014 00:16:42,15.5316550925926
11,68,5,4,13-Jan-2014 00:17:54,15.5324884259259
12,67,6,1,13-Jan-2014 22:03:55,16.4394444444444
13,64,6,2,13-Jan-2014 22:05:00,16.4401967592593
14,70,6,3,13-Jan-2014 22:06:06,16.4409606481481
15,68,6,4,13-Jan-2014 22:07:11,16.441712962963
16,66,7,1,17-Jan-2014 18:05:31,20.2738888888889
17,67,7,2,17-Jan-2014 18:07:12,20.2750578703704
18,71,7,3,17-Jan-2014 18:08:30,20.2759606481481
19,70,7,4,17-Jan-2014 18:11:11,20.2778240740741
20,67,7,5,17-Jan-2014 18:13:39,20.279537037037
21,70,7,6,17-Jan-2014 18:15:08,20.2805671296296
22,67,7,7,17-Jan-2014 18:16:33,20.2815509259259
23,67,7,8,17-Jan-2014 18:18:53,20.2831712962963
24,70,7,9,17-Jan-2014 18:21:07,20.2847222222222
25,68,7,10,17-Jan-2014 18:24:21,20.2869675925926
26,71,8,1,19-Jan-2014 09:13:21,21.9043287037037
27,72,8,2,19-Jan-2014 09:14:31,21.9051388888889
28,73,8,3,19-Jan-2014 09:17:58,21.9075347222222
29,72,8,4,19-Jan-2014 09:19:53,21.9088657407407
30,67,9,1,05-Mar-2014 19:36:44,67.3372337962963
31,68,9,2,05-Mar-2014 19:37:55,67.3380555555555
32,71,9,3,05-Mar-2014 19:39:04,67.3388541666666
33,70,9,4,05-Mar-2014 19:40:09,67.3396064814815
34,72,9,5,05-Mar-2014 19:42:29,67.3412268518518
35,67,9,6,05-Mar-2014 19:43:33,67.3419675925926
36,69,9,7,05-Mar-2014 19:55:29,67.3502546296296
37,68,10,1,27-Mar-2014 09:24:03,88.9117592592592
38,68,10,2,27-Mar-2014 09:25:15,88.9125925925926
39,62,11,1,09-Jul-2014 21:21:38,193.410081018518
40,65,11,2,09-Jul-2014 21:23:09,193.411134259259
41,66,11,3,09-Jul-2014 21:24:15,193.411898148148
42,62,12,1,27-Oct-2014 00:05:29,302.523865740741
43,65,12,2,27-Oct-2014 00:06:38,302.524664351852
44,65,12,3,27-Oct-2014 00:08:01,302.525625
45,65,12,4,27-Oct-2014 00:09:06,302.526377314815
46,65,13,1,09-Nov-2014 00:16:36,315.531585648148
47,69,13,2,09-Nov-2014 00:17:46,315.532395833333
48,64,14,1,26-Nov-2014 01:01:20,332.562650462963
49,68,14,2,26-Nov-2014 01:03:02,332.563831018518
50,68,14,3,26-Nov-2014 01:04:33,332.564884259259
51,66,14,4,26-Nov-2014 01:05:39,332.565648148148
52,68,14,5,26-Nov-2014 01:06:43,332.566388888889
53,66,14,6,26-Nov-2014 01:08:16,332.567465277778
54,66,14,7,26-Nov-2014 01:09:20,332.568206018518
55,64,14,8,26-Nov-2014 01:11:37,332.569791666667
56,70,14,9,26-Nov-2014 01:12:44,332.57056712963
57,69,14,10,26-Nov-2014 01:13:58,332.571423611111
58,66,14,11,26-Nov-2014 01:15:40,332.572604166667
59,67,14,12,26-Nov-2014 01:16:43,332.573333333333
60,67,14,13,26-Nov-2014 01:17:58,332.574201388889
61,67,14,14,26-Nov-2014 01:20:04,332.575659722222
62,68,14,15,26-Nov-2014 01:21:08,332.576400462963
63,65,14,16,26-Nov-2014 01:22:13,332.577152777778
64,NaN,15,1,26-Nov-2014 10:32:13,332.959097222222
65,69,15,2,26-Nov-2014 10:33:40,332.960104166667
66,69,15,3,26-Nov-2014 10:34:44,332.960844907407
67,69,15,4,26-Nov-2014 10:37:17,332.962615740741
68,72,15,5,26-Nov-2014 10:38:31,332.963472222222
69,70,15,6,26-Nov-2014 10:40:00,332.964502314815
