gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,56,1,1,12-Jul-2016 12:35:36,0
2,57,1,2,12-Jul-2016 12:36:48,0.000833333333333333
3,54,1,3,12-Jul-2016 12:38:03,0.00170138888888889
4,56,2,1,13-Jul-2016 13:19:37,1.03056712962963
5,59,2,2,13-Jul-2016 13:20:52,1.03143518518519
6,55,2,3,13-Jul-2016 13:22:14,1.03238425925926
7,55,3,1,14-Jul-2016 15:17:55,2.11271990740741
8,54,3,2,14-Jul-2016 15:19:10,2.11358796296296
9,57,3,3,14-Jul-2016 15:20:25,2.11445601851852
10,55,4,1,19-Jul-2016 13:22:11,7.03234953703704
11,57,4,2,19-Jul-2016 13:23:29,7.03325231481481
12,58,4,3,19-Jul-2016 13:24:46,7.03414351851852
13,53,5,1,20-Jul-2016 13:58:30,8.05756944444444
14,56,5,2,20-Jul-2016 13:59:43,8.05841435185185
15,52,5,3,20-Jul-2016 14:00:56,8.05925925925926
16,55,5,4,20-Jul-2016 14:02:27,8.0603125
17,55,6,1,23-Jul-2016 18:42:00,11.2544444444444
18,58,6,2,23-Jul-2016 18:43:11,11.2552662037037
19,57,6,3,23-Jul-2016 18:44:25,11.2561226851852
20,55,7,1,28-Jul-2016 19:24:57,16.2842708333333
21,57,7,2,28-Jul-2016 19:27:21,16.2859375
22,54,7,3,28-Jul-2016 19:28:32,16.2867592592593
23,59,7,4,28-Jul-2016 19:29:48,16.2876388888889
24,55,8,1,05-Aug-2016 21:10:12,24.3573611111111
25,56,8,2,05-Aug-2016 21:11:29,24.3582523148148
26,58,8,3,05-Aug-2016 21:12:41,24.3590856481481
27,57,9,1,15-Aug-2016 16:01:55,34.143275462963
28,59,9,2,15-Aug-2016 16:03:10,34.1441435185185
29,57,9,3,15-Aug-2016 16:04:24,34.145
30,57,9,4,15-Aug-2016 16:05:34,34.1458101851852
