gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,44,1,1,17-May-2013 19:51:49,0
2,49,1,2,17-May-2013 19:53:01,0.000833333333333333
3,46,1,3,17-May-2013 19:54:26,0.00181712962962963
4,51,2,1,08-Jul-2013 19:46:42,51.9964467592593
5,NaN,2,2,08-Jul-2013 19:47:55,51.9972916666667
6,54,2,3,08-Jul-2013 19:49:02,51.9980671296296
7,55,2,4,08-Jul-2013 19:50:10,51.9988541666667
8,48,3,1,04-Sep-2013 19:46:11,109.996087962963
9,53,3,2,04-Sep-2013 19:47:18,109.996863425926
10,54,3,3,04-Sep-2013 19:48:23,109.997615740741
11,53,3,4,04-Sep-2013 19:49:32,109.998414351852
12,51,3,5,04-Sep-2013 19:50:37,109.999166666667
13,51,4,1,05-Sep-2013 18:47:42,110.955474537037
14,53,4,2,05-Sep-2013 18:48:48,110.956238425926
15,53,4,3,05-Sep-2013 18:49:55,110.957013888889
16,50,4,4,05-Sep-2013 18:51:47,110.958310185185
17,50,4,5,05-Sep-2013 18:53:46,110.9596875
18,53,4,6,05-Sep-2013 18:54:51,110.960439814815
19,53,4,7,05-Sep-2013 18:55:56,110.96119212963
20,52,4,8,05-Sep-2013 18:57:02,110.961956018519
21,52,4,9,05-Sep-2013 18:58:09,110.962731481481
22,52,4,10,05-Sep-2013 18:59:15,110.96349537037
23,54,4,11,05-Sep-2013 19:00:20,110.964247685185
24,53,4,12,05-Sep-2013 19:01:29,110.965046296296
25,48,5,1,07-Sep-2013 21:16:52,113.0590625
26,53,5,2,07-Sep-2013 21:17:57,113.059814814815
27,55,5,3,07-Sep-2013 21:19:02,113.06056712963
28,54,5,4,07-Sep-2013 21:20:08,113.061331018519
29,51,6,1,09-Sep-2013 21:02:43,115.049236111111
30,52,6,2,09-Sep-2013 21:04:25,115.050416666667
31,54,6,3,09-Sep-2013 21:06:05,115.051574074074
32,57,6,4,09-Sep-2013 21:07:09,115.052314814815
33,56,6,5,09-Sep-2013 21:08:16,115.053090277778
34,56,6,6,09-Sep-2013 21:09:37,115.054027777778
35,55,6,7,09-Sep-2013 21:10:41,115.054768518519
36,50,7,1,13-Sep-2013 21:18:17,119.060046296296
37,57,7,2,13-Sep-2013 21:19:23,119.060810185185
38,54,7,3,13-Sep-2013 21:20:31,119.061597222222
39,55,7,4,13-Sep-2013 21:22:24,119.062905092593
40,53,8,1,19-Sep-2013 17:16:22,124.892048611111
41,56,8,2,19-Sep-2013 17:17:38,124.892928240741
42,55,8,3,19-Sep-2013 17:18:43,124.893680555556
43,55,8,4,19-Sep-2013 17:19:47,124.894421296296
44,58,8,5,19-Sep-2013 17:20:51,124.895162037037
45,54,8,6,19-Sep-2013 17:21:55,124.895902777778
46,55,8,7,19-Sep-2013 17:23:06,124.896724537037
47,56,9,1,22-Sep-2013 16:08:06,127.844641203704
48,58,9,2,22-Sep-2013 16:09:21,127.845509259259
49,57,9,3,22-Sep-2013 16:10:26,127.846261574074
50,57,9,4,22-Sep-2013 16:11:32,127.847025462963
51,51,10,1,03-Oct-2013 15:54:07,138.834930555556
52,53,10,2,03-Oct-2013 15:56:49,138.836805555556
53,46,11,1,07-Oct-2013 20:34:55,143.029930555556
54,52,11,2,07-Oct-2013 20:36:06,143.030752314815
55,55,11,3,07-Oct-2013 20:37:21,143.03162037037
56,53,11,4,07-Oct-2013 20:38:35,143.032476851852
57,53,11,5,07-Oct-2013 20:39:54,143.033391203704
58,42,12,1,19-May-2014 15:29:48,366.818043981482
59,48,12,2,19-May-2014 15:31:21,366.81912037037
60,45,12,3,19-May-2014 15:33:08,366.820358796296
61,41,12,4,19-May-2014 15:34:19,366.821180555556
62,49,12,5,19-May-2014 15:35:25,366.821944444445
63,48,13,1,26-May-2014 18:18:53,373.935462962963
64,49,13,2,26-May-2014 18:20:02,373.936261574074
65,51,13,3,26-May-2014 18:21:07,373.937013888889
66,52,13,4,26-May-2014 18:22:12,373.937766203704
67,48,13,5,26-May-2014 18:23:18,373.938530092593
68,52,14,1,02-Jun-2014 19:19:17,380.977407407407
69,52,14,2,02-Jun-2014 19:20:20,380.978136574074
70,52,14,3,02-Jun-2014 19:21:23,380.978865740741
