gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,51,1,1,02-Aug-2013 13:17:09,0
2,52,1,2,02-Aug-2013 13:18:21,0.000833333333333333
3,53,1,3,02-Aug-2013 13:20:39,0.00243055555555556
4,51,1,4,02-Aug-2013 13:21:59,0.00335648148148148
5,53,1,5,02-Aug-2013 13:23:08,0.00415509259259259
6,51,1,6,02-Aug-2013 13:24:34,0.00515046296296296
7,54,1,7,02-Aug-2013 13:25:42,0.0059375
8,53,2,1,07-Aug-2013 14:30:30,5.0509375
9,52,3,1,14-Aug-2013 11:17:59,11.9172453703704
10,57,3,2,14-Aug-2013 11:19:28,11.918275462963
11,54,3,3,14-Aug-2013 11:20:45,11.9191666666667
12,56,3,4,14-Aug-2013 11:22:01,11.9200462962963
13,57,3,5,14-Aug-2013 11:25:19,11.922337962963
14,57,3,6,14-Aug-2013 11:26:33,11.9231944444444
15,56,3,7,14-Aug-2013 11:27:58,11.9241782407407
16,55,3,8,14-Aug-2013 11:29:12,11.9250347222222
17,55,3,9,14-Aug-2013 11:30:42,11.9260763888889
18,58,3,10,14-Aug-2013 11:52:07,11.9409490740741
19,54,4,1,19-Aug-2013 13:00:44,16.988599537037
20,55,4,2,19-Aug-2013 13:02:01,16.9894907407407
21,56,4,3,19-Aug-2013 13:03:15,16.9903472222222
22,55,4,4,19-Aug-2013 13:04:30,16.9912152777778
23,55,4,5,19-Aug-2013 13:05:36,16.9919791666667
24,57,4,6,19-Aug-2013 13:06:44,16.9927662037037
25,55,5,1,28-Aug-2013 11:03:16,25.907025462963
26,58,5,2,28-Aug-2013 11:04:26,25.9078356481481
27,55,5,3,28-Aug-2013 11:05:34,25.9086226851852
28,56,5,4,28-Aug-2013 11:06:40,25.9093865740741
29,58,5,5,28-Aug-2013 11:07:49,25.9101851851852
30,59,5,6,28-Aug-2013 11:09:03,25.9110416666667
31,57,6,1,30-Aug-2013 05:03:17,27.657037037037
32,59,6,2,30-Aug-2013 05:04:33,27.6579166666667
33,58,6,3,30-Aug-2013 05:06:00,27.6589236111111
34,56,6,4,30-Aug-2013 05:07:27,27.6599305555556
35,54,6,5,30-Aug-2013 05:09:10,27.6611226851852
36,57,6,6,30-Aug-2013 05:10:24,27.6619791666667
37,56,6,7,30-Aug-2013 05:13:29,27.6641203703704
38,57,6,8,30-Aug-2013 05:14:34,27.6648726851852
39,56,6,9,30-Aug-2013 05:16:01,27.6658796296296
40,55,7,1,06-Sep-2013 11:56:54,34.9442708333333
41,56,7,2,06-Sep-2013 11:58:35,34.9454398148148
42,56,7,3,06-Sep-2013 11:59:44,34.9462384259259
43,59,7,4,06-Sep-2013 12:01:24,34.9473958333333
44,57,7,5,06-Sep-2013 12:02:31,34.9481712962963
45,58,7,6,06-Sep-2013 12:03:38,34.9489467592593
46,58,7,7,06-Sep-2013 12:04:47,34.9497453703704
47,59,7,8,06-Sep-2013 12:05:58,34.9505671296296
48,60,7,9,06-Sep-2013 12:07:03,34.9513194444444
49,57,8,1,18-Sep-2013 12:10:51,46.9539583333333
50,NaN,8,2,18-Sep-2013 12:12:24,46.9550347222222
51,59,8,3,18-Sep-2013 12:13:40,46.9559143518519
52,59,8,4,18-Sep-2013 12:14:50,46.956724537037
53,NaN,8,5,18-Sep-2013 12:16:17,46.9577314814815
54,60,8,6,18-Sep-2013 12:17:44,46.9587384259259
55,58,9,1,26-Sep-2013 22:26:13,55.3812962962963
56,58,9,2,26-Sep-2013 22:28:20,55.3827662037037
57,60,9,3,26-Sep-2013 22:29:31,55.383587962963
58,58,9,4,26-Sep-2013 22:30:41,55.3843981481481
59,58,9,5,26-Sep-2013 22:31:48,55.3851736111111
60,61,9,6,26-Sep-2013 22:32:57,55.3859722222222
61,48,10,1,30-Jun-2014 21:59:00,332.362395833333
62,53,10,2,30-Jun-2014 22:00:07,332.363171296296
63,55,10,3,30-Jun-2014 22:01:15,332.363958333333
64,54,10,4,30-Jun-2014 22:02:18,332.3646875
65,55,10,5,30-Jun-2014 22:03:24,332.365451388889
66,56,10,6,30-Jun-2014 22:04:28,332.36619212963
67,54,10,7,30-Jun-2014 22:05:44,332.367071759259
68,54,10,8,30-Jun-2014 22:06:47,332.367800925926
69,53,10,9,30-Jun-2014 22:07:56,332.368599537037
70,56,10,10,30-Jun-2014 22:09:15,332.369513888889
71,56,10,11,30-Jun-2014 22:10:47,332.370578703704
72,55,10,12,30-Jun-2014 22:11:53,332.371342592593
73,56,11,1,15-Aug-2014 20:33:32,378.303043981481
74,58,11,2,15-Aug-2014 20:34:35,378.303773148148
75,56,11,3,15-Aug-2014 20:35:44,378.304571759259
76,57,11,4,15-Aug-2014 20:37:11,378.305578703704
77,58,11,5,15-Aug-2014 20:40:49,378.308101851852
78,62,11,6,15-Aug-2014 20:42:22,378.309178240741
79,57,12,1,09-Sep-2014 21:49:12,403.355590277778
80,61,12,2,09-Sep-2014 21:51:09,403.356944444444
81,58,12,3,09-Sep-2014 21:52:30,403.357881944444
82,51,13,1,11-Jun-2015 01:19:31,677.501643518518
