gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,NaN,1,1,08-Sep-2015 08:07:40,0
2,64,1,2,08-Sep-2015 08:08:53,0.000844907407407407
3,61,2,1,08-Sep-2015 14:12:49,0.253576388888889
4,63,2,2,08-Sep-2015 14:13:55,0.254340277777778
5,64,2,3,08-Sep-2015 14:15:01,0.255104166666667
6,67,3,1,09-Sep-2015 09:47:38,1.0694212962963
7,66,4,1,23-Sep-2015 12:37:08,15.1871296296296
8,65,4,2,23-Sep-2015 12:38:12,15.1878703703704
9,67,4,3,23-Sep-2015 12:40:12,15.1892592592593
10,67,4,4,23-Sep-2015 12:41:23,15.1900810185185
11,67,4,5,23-Sep-2015 12:42:29,15.1908449074074
12,65,5,1,24-Sep-2015 08:22:36,16.0103703703704
13,63,5,2,24-Sep-2015 08:24:12,16.0114814814815
14,66,5,3,24-Sep-2015 08:25:15,16.0122106481481
15,59,6,1,04-Nov-2015 13:11:26,57.2109490740741
16,63,6,2,04-Nov-2015 13:12:30,57.2116898148148
17,63,6,3,04-Nov-2015 13:13:35,57.2124421296296
18,63,6,4,04-Nov-2015 13:14:40,57.2131944444444
19,60,6,5,04-Nov-2015 13:15:58,57.2140972222222
20,61,6,6,04-Nov-2015 13:17:01,57.2148263888889
21,63,7,1,10-Jan-2016 17:40:36,124.39787037037
22,63,7,2,10-Jan-2016 17:41:44,124.398657407407
23,60,7,3,10-Jan-2016 17:42:49,124.399409722222
24,64,7,4,10-Jan-2016 17:43:55,124.400173611111
25,62,7,5,10-Jan-2016 17:45:05,124.400983796296
26,63,7,6,10-Jan-2016 17:46:10,124.401736111111
27,65,7,7,10-Jan-2016 17:47:30,124.402662037037
28,63,7,8,10-Jan-2016 17:50:15,124.404571759259
29,65,7,9,10-Jan-2016 17:52:35,124.40619212963
30,62,7,10,10-Jan-2016 17:53:39,124.40693287037
31,64,7,11,10-Jan-2016 17:55:21,124.408113425926
32,51,8,1,29-Feb-2016 14:42:54,174.274467592593
33,64,8,2,29-Feb-2016 14:44:47,174.275775462963
34,63,8,3,29-Feb-2016 14:47:56,174.277962962963
