gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,39,1,1,30-Oct-2016 12:22:38,0
2,41,1,2,30-Oct-2016 12:23:50,0.000833333333333333
3,40,2,1,06-Nov-2016 16:10:24,7.1581712962963
4,46,2,2,06-Nov-2016 16:11:40,7.15905092592593
5,43,3,1,15-Nov-2016 14:48:46,16.1014814814815
6,48,3,2,15-Nov-2016 14:50:04,16.1023842592593
7,49,3,3,15-Nov-2016 14:52:09,16.1038310185185
8,45,4,1,25-Nov-2016 12:20:52,25.9987731481481
9,47,4,2,25-Nov-2016 12:22:48,26.0001157407407
10,46,4,3,25-Nov-2016 12:24:29,26.0012847222222
11,49,4,4,25-Nov-2016 12:26:24,26.0026157407407
12,49,5,1,08-Dec-2016 20:18:13,39.3302662037037
13,49,5,2,08-Dec-2016 20:19:23,39.3310763888889
14,51,6,1,20-Dec-2016 14:19:00,51.0808101851852
15,48,7,1,11-Jan-2017 10:13:07,72.9100578703704
16,53,7,2,11-Jan-2017 10:14:57,72.9113310185185
17,48,8,1,25-Jan-2017 11:30:44,86.9639583333333
18,51,8,2,25-Jan-2017 11:32:00,86.964837962963
19,52,8,3,25-Jan-2017 11:35:07,86.9670023148148
20,52,8,4,25-Jan-2017 11:36:21,86.9678587962963
21,51,8,5,25-Jan-2017 12:07:56,86.9897916666666
22,53,8,6,25-Jan-2017 12:09:10,86.9906481481481
23,53,9,1,10-Apr-2017 14:29:50,162.088333333333
24,55,9,2,10-Apr-2017 14:31:07,162.089224537037
25,51,10,1,15-Apr-2017 17:56:46,167.232037037037
26,53,10,2,15-Apr-2017 17:57:59,167.232881944444
27,55,10,3,15-Apr-2017 18:00:11,167.234409722222
28,52,11,1,16-May-2017 19:10:37,198.283321759259
29,55,11,2,16-May-2017 19:12:05,198.284340277778
30,56,11,3,16-May-2017 19:13:29,198.2853125
31,54,12,1,22-May-2017 18:22:54,204.250185185185
32,56,12,2,22-May-2017 18:24:04,204.25099537037
33,57,12,3,22-May-2017 18:25:11,204.251770833333
34,58,12,4,22-May-2017 18:26:19,204.25255787037
35,56,13,1,10-Jun-2017 12:13:01,222.993321759259
36,59,13,2,10-Jun-2017 12:14:16,222.994189814815
37,57,13,3,10-Jun-2017 12:16:09,222.995497685185
38,59,13,4,10-Jun-2017 12:17:31,222.996446759259
39,58,13,5,10-Jun-2017 12:18:43,222.997280092593
40,57,14,1,08-Aug-2017 19:44:55,282.307141203704
41,60,14,2,08-Aug-2017 19:47:03,282.308622685185
42,61,14,3,08-Aug-2017 19:48:21,282.309525462963
43,54,14,4,08-Aug-2017 19:49:34,282.31037037037
44,58,14,5,08-Aug-2017 19:50:43,282.311168981481
45,56,15,1,09-Sep-2017 15:11:22,314.117175925926
46,56,15,2,09-Sep-2017 15:13:19,314.118530092593
47,58,15,3,09-Sep-2017 15:15:18,314.119907407407
48,56,15,4,09-Sep-2017 15:16:37,314.120821759259
49,58,15,5,09-Sep-2017 15:18:57,314.12244212963
50,58,15,6,09-Sep-2017 15:20:05,314.123229166667
51,59,15,7,09-Sep-2017 15:21:34,314.124259259259
52,58,15,8,09-Sep-2017 15:23:24,314.125532407407
53,60,15,9,09-Sep-2017 15:25:20,314.126875
54,62,15,10,09-Sep-2017 15:26:34,314.127731481481
