gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,37,1,1,27-Feb-2015 10:18:22,0
2,43,2,1,03-Mar-2015 17:04:57,4.28234953703704
3,44,3,1,25-Mar-2015 23:34:40,26.5529861111111
4,51,3,2,25-Mar-2015 23:35:50,26.5537962962963
5,48,4,1,16-Apr-2015 23:07:32,48.5341435185185
6,52,4,2,16-Apr-2015 23:08:37,48.5348958333333
7,52,4,3,16-Apr-2015 23:09:43,48.5356597222222
8,56,5,1,17-Apr-2015 13:32:24,49.1347453703704
9,60,5,2,17-Apr-2015 13:33:31,49.1355208333333
10,58,5,3,17-Apr-2015 13:34:32,49.1362268518519
11,58,6,1,20-Apr-2015 09:54:32,51.9834490740741
12,61,6,2,20-Apr-2015 09:55:39,51.984224537037
13,NaN,7,1,21-Apr-2015 09:31:54,52.9677314814815
14,63,7,2,21-Apr-2015 09:33:01,52.9685069444444
15,62,7,3,21-Apr-2015 09:34:06,52.9692592592593
16,57,7,4,21-Apr-2015 09:35:11,52.9700115740741
17,64,7,5,21-Apr-2015 09:36:16,52.9707638888889
18,62,7,6,21-Apr-2015 09:37:17,52.9714699074074
19,62,7,7,21-Apr-2015 09:38:18,52.9721759259259
20,61,7,8,21-Apr-2015 09:39:18,52.9728703703704
21,63,7,9,21-Apr-2015 09:40:21,52.9735995370371
22,63,7,10,21-Apr-2015 09:41:22,52.9743055555556
23,59,8,1,25-Apr-2015 00:50:11,56.6054282407408
24,62,8,2,25-Apr-2015 00:51:17,56.6061921296296
25,62,8,3,25-Apr-2015 00:52:23,56.6069560185185
26,58,8,4,25-Apr-2015 00:53:28,56.6077083333334
27,63,8,5,25-Apr-2015 00:54:35,56.6084837962963
28,60,8,6,25-Apr-2015 00:55:43,56.6092708333334
29,60,8,7,25-Apr-2015 00:56:50,56.6100462962963
30,64,8,8,25-Apr-2015 00:57:58,56.6108333333334
31,63,8,9,25-Apr-2015 00:59:20,56.6117824074074
32,61,8,10,25-Apr-2015 01:00:43,56.6127430555556
33,61,8,11,25-Apr-2015 01:01:47,56.6134837962963
34,63,8,12,25-Apr-2015 01:02:52,56.6142361111111
35,62,8,13,25-Apr-2015 01:03:56,56.6149768518519
36,61,9,1,08-May-2015 20:08:40,70.4099305555556
37,66,9,2,08-May-2015 20:09:44,70.4106712962963
38,65,9,3,08-May-2015 20:10:47,70.411400462963
39,64,9,4,08-May-2015 20:11:51,70.4121412037037
40,66,9,5,08-May-2015 20:12:53,70.4128587962963
41,68,9,6,08-May-2015 20:13:55,70.4135763888889
42,67,9,7,08-May-2015 20:15:01,70.4143402777778
43,68,9,8,08-May-2015 20:16:05,70.4150810185185
44,69,9,9,08-May-2015 20:17:07,70.4157986111111
45,54,10,1,12-May-2015 22:03:39,74.4897800925926
46,59,10,2,12-May-2015 22:04:51,74.4906134259259
47,69,11,1,16-May-2015 20:59:20,78.4451157407408
48,68,11,2,16-May-2015 21:00:25,78.4458680555556
49,68,11,3,16-May-2015 21:01:27,78.4465856481482
50,70,11,4,16-May-2015 21:02:29,78.4473032407408
51,68,11,5,16-May-2015 21:03:35,78.4480671296296
52,65,11,6,16-May-2015 21:04:53,78.4489699074074
53,67,11,7,16-May-2015 21:06:07,78.4498263888889
54,67,11,8,16-May-2015 21:07:24,78.4507175925926
55,67,11,9,16-May-2015 21:08:26,78.4514351851852
56,69,11,10,16-May-2015 21:09:47,78.4523726851852
57,67,11,11,16-May-2015 21:11:50,78.4537962962963
58,71,11,12,16-May-2015 21:12:57,78.4545717592593
59,69,11,13,16-May-2015 21:13:59,78.4552893518519
60,68,11,14,16-May-2015 21:15:15,78.4561689814815
61,67,11,15,16-May-2015 21:16:18,78.4568981481482
62,68,11,16,16-May-2015 21:17:21,78.4576273148149
63,70,11,17,16-May-2015 21:18:23,78.4583449074075
64,69,11,18,16-May-2015 21:19:26,78.4590740740741
65,67,11,19,16-May-2015 21:20:32,78.459837962963
66,69,12,1,23-May-2015 11:21:18,85.0437037037038
67,63,13,1,23-Jul-2015 14:53:36,146.191134259259
68,70,13,2,23-Jul-2015 14:54:39,146.191863425926
69,68,13,3,23-Jul-2015 14:55:46,146.192638888889
70,70,13,4,23-Jul-2015 14:57:01,146.193506944444
71,68,13,5,23-Jul-2015 14:58:05,146.194247685185
72,69,13,6,23-Jul-2015 14:59:09,146.194988425926
73,69,13,7,23-Jul-2015 15:00:11,146.195706018519
74,65,13,8,23-Jul-2015 15:01:15,146.196446759259
75,72,13,9,23-Jul-2015 15:02:18,146.197175925926
76,70,13,10,23-Jul-2015 15:03:24,146.197939814815
77,70,14,1,30-Jul-2015 12:06:27,153.07505787037
78,73,14,2,30-Jul-2015 12:07:34,153.075833333333
