gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,33,1,1,23-Apr-2015 07:08:18,0
2,40,1,2,23-Apr-2015 07:09:33,0.000868055555555556
3,33,2,1,24-Apr-2015 05:12:35,0.919641203703704
4,43,2,2,24-Apr-2015 05:14:05,0.92068287037037
5,46,2,3,24-Apr-2015 05:16:20,0.92224537037037
6,40,3,1,25-Apr-2015 04:51:19,1.90487268518519
7,45,3,2,25-Apr-2015 04:52:43,1.90584490740741
8,47,3,3,25-Apr-2015 04:53:52,1.90664351851852
9,49,3,4,25-Apr-2015 04:55:19,1.90765046296296
10,49,3,5,25-Apr-2015 04:56:40,1.90858796296296
11,46,4,1,27-Apr-2015 16:39:55,4.39695601851852
12,NaN,4,2,27-Apr-2015 16:43:01,4.3991087962963
13,52,4,3,27-Apr-2015 16:44:06,4.39986111111111
14,52,4,4,27-Apr-2015 16:45:21,4.40072916666667
15,49,4,5,27-Apr-2015 16:46:26,4.40148148148148
16,50,4,6,27-Apr-2015 16:47:39,4.40232638888889
17,51,4,7,27-Apr-2015 16:48:57,4.40322916666667
18,53,4,8,27-Apr-2015 16:50:07,4.40403935185185
19,53,5,1,28-Apr-2015 08:09:59,5.04283564814815
20,56,5,2,28-Apr-2015 08:11:08,5.04363425925926
21,52,5,3,28-Apr-2015 08:12:16,5.0444212962963
22,52,5,4,28-Apr-2015 08:13:26,5.04523148148148
23,54,5,5,28-Apr-2015 08:14:33,5.04600694444444
24,51,5,6,28-Apr-2015 08:15:43,5.04681712962963
25,55,5,7,28-Apr-2015 08:16:53,5.04762731481481
26,49,6,1,01-May-2015 19:44:07,8.52487268518518
27,51,6,2,01-May-2015 19:45:15,8.52565972222222
28,54,6,3,01-May-2015 19:46:26,8.52648148148148
29,56,6,4,01-May-2015 19:47:34,8.52726851851852
30,58,6,5,01-May-2015 19:48:39,8.52802083333333
31,55,6,6,01-May-2015 19:49:45,8.52878472222222
32,55,6,7,01-May-2015 19:50:53,8.52957175925926
33,58,6,8,01-May-2015 19:52:02,8.53037037037037
34,56,6,9,01-May-2015 19:53:12,8.53118055555556
35,56,6,10,01-May-2015 19:54:20,8.53196759259259
36,58,6,11,01-May-2015 19:55:27,8.53274305555556
37,58,6,12,01-May-2015 19:56:39,8.53357638888889
38,56,6,13,01-May-2015 19:57:49,8.53438657407407
39,51,7,1,15-May-2015 06:56:10,21.9915740740741
40,52,7,2,15-May-2015 06:57:14,21.9923148148148
41,55,7,3,15-May-2015 06:58:20,21.9930787037037
42,56,7,4,15-May-2015 06:59:25,21.9938310185185
43,57,7,5,15-May-2015 07:00:28,21.9945601851852
44,52,8,1,07-Jun-2015 05:56:07,44.9498726851852
45,55,8,2,07-Jun-2015 05:57:14,44.9506481481481
46,57,8,3,07-Jun-2015 05:58:24,44.9514583333333
47,55,9,1,08-Jun-2015 05:59:20,45.9521064814815
48,58,9,2,08-Jun-2015 06:00:29,45.9529050925926
49,56,10,1,10-Jun-2015 06:24:09,47.9693402777778
50,60,10,2,10-Jun-2015 06:25:52,47.9705324074074
51,59,10,3,10-Jun-2015 06:30:32,47.9737731481482
52,57,11,1,12-Jun-2015 07:02:39,49.9960763888889
53,60,11,2,12-Jun-2015 07:03:44,49.9968287037037
54,55,11,3,12-Jun-2015 07:04:47,49.9975578703704
55,57,11,4,12-Jun-2015 07:05:51,49.9982986111111
56,56,12,1,12-Jun-2015 08:10:39,50.0432986111111
57,60,12,2,12-Jun-2015 08:12:45,50.0447569444445
58,60,12,3,12-Jun-2015 08:13:58,50.0456018518519
59,60,12,4,12-Jun-2015 08:15:08,50.046412037037
60,55,13,1,23-Jun-2015 11:00:07,61.1609837962963
61,61,13,2,23-Jun-2015 11:01:10,61.161712962963
62,62,13,3,23-Jun-2015 11:02:15,61.1624652777778
63,59,13,4,23-Jun-2015 11:03:18,61.1631944444445
64,59,13,5,23-Jun-2015 11:04:26,61.1639814814815
65,51,14,1,30-Jul-2015 05:59:41,97.9523495370371
66,57,14,2,30-Jul-2015 06:00:45,97.9530902777778
67,57,14,3,30-Jul-2015 06:01:51,97.9538541666667
68,58,14,4,30-Jul-2015 06:02:55,97.9545949074074
69,60,14,5,30-Jul-2015 06:04:00,97.9553472222222
