gameplay,score,session,gameplay_withinsession,timestamp,dayselapsed
1,51,1,1,09-Sep-2013 18:48:42,0
2,56,1,2,09-Sep-2013 18:49:57,0.000868055555555556
3,53,1,3,09-Sep-2013 18:51:03,0.00163194444444444
4,53,2,1,05-Jan-2014 13:04:35,117.761030092593
5,54,3,1,08-Feb-2014 12:59:56,151.757800925926
6,53,4,1,11-Feb-2014 13:08:14,154.763564814815
7,54,4,2,11-Feb-2014 13:09:22,154.764351851852
8,55,4,3,11-Feb-2014 13:10:27,154.765104166667
9,54,5,1,22-Feb-2014 17:24:49,165.941747685185
10,52,5,2,22-Feb-2014 17:25:55,165.942511574074
11,56,5,3,22-Feb-2014 17:26:59,165.943252314815
12,57,5,4,22-Feb-2014 17:28:03,165.943993055556
13,53,5,5,22-Feb-2014 17:29:06,165.944722222222
14,55,5,6,22-Feb-2014 17:30:09,165.945451388889
15,56,5,7,22-Feb-2014 17:31:12,165.946180555556
16,47,6,1,05-Sep-2014 18:29:22,360.986574074074
17,55,6,2,05-Sep-2014 18:30:30,360.987361111111
18,49,7,1,09-Sep-2014 21:14:53,365.101516203704
19,52,7,2,09-Sep-2014 21:16:04,365.102337962963
20,51,7,3,09-Sep-2014 21:17:06,365.103055555556
21,55,7,4,09-Sep-2014 21:18:10,365.103796296296
22,50,8,1,12-Sep-2014 13:43:02,367.787731481482
23,54,8,2,12-Sep-2014 13:44:10,367.788518518519
24,53,8,3,12-Sep-2014 13:45:15,367.789270833333
25,54,8,4,12-Sep-2014 13:46:20,367.790023148148
26,55,8,5,12-Sep-2014 13:47:22,367.790740740741
27,54,9,1,28-Sep-2014 14:53:43,383.83681712963
28,54,9,2,28-Sep-2014 14:54:49,383.837581018519
29,57,9,3,28-Sep-2014 14:56:02,383.838425925926
30,45,10,1,05-Aug-2015 21:26:04,695.109282407407
31,50,10,2,05-Aug-2015 21:27:11,695.11005787037
32,52,10,3,05-Aug-2015 21:28:28,695.110949074074
33,50,10,4,05-Aug-2015 21:29:33,695.111701388889
34,51,10,5,05-Aug-2015 21:30:36,695.112430555556
35,53,10,6,05-Aug-2015 21:31:42,695.113194444444
36,48,11,1,03-Apr-2016 10:59:26,936.67412037037
37,52,11,2,03-Apr-2016 11:00:37,936.674942129629
38,53,11,3,03-Apr-2016 11:01:44,936.675717592592
39,48,12,1,22-Apr-2016 19:50:23,956.042835648148
40,51,12,2,22-Apr-2016 19:51:33,956.043645833333
41,52,12,3,22-Apr-2016 19:52:47,956.044502314815
42,52,12,4,22-Apr-2016 19:54:01,956.045358796296
43,53,12,5,22-Apr-2016 19:55:13,956.04619212963
44,53,12,6,22-Apr-2016 19:56:21,956.046979166667
45,47,13,1,09-Mar-2017 15:14:07,1276.8509837963
46,49,13,2,09-Mar-2017 15:15:23,1276.85186342593
47,47,13,3,09-Mar-2017 15:16:37,1276.85271990741
